pair_id,dataset_id,dataset_version,left_sha256,right_sha256,label,lineage_group_id,split,ground_truth_source,label_confidence,notes
DC-C07-S01-M1-CAND-0001,DC-C07-S01-M1,m1-controlled-2026-06-12,9331f32f477c8a56224067cc21b72688af0fda6cd87db440de0bf82b551c3cb8,704d409061e7a3d5f3524c6b4adff24cd539f6cc679bf5abecff65633e4d0995,positive_native_lib_added,C07M1-NATIVE-0001,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0002,DC-C07-S01-M1,m1-controlled-2026-06-12,c711230535283ab71a472756db565a65aa695ed4f2cad19f028e34973fb1cfd1,25ca40f916bd96992f9a01161934c69303ebd9da14539765ba40885624348f51,positive_native_lib_added,C07M1-NATIVE-0002,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0003,DC-C07-S01-M1,m1-controlled-2026-06-12,c345ae6eb00c926c135a5efd97c3d6e7013d1f2e8f11e5ff021aeb91d0bccd96,1ae47191f07ca6fededdf45f79c81cebcdfd7899a2053b1e2f79fb68a838c2f2,positive_native_lib_added,C07M1-NATIVE-0003,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0004,DC-C07-S01-M1,m1-controlled-2026-06-12,1e3e0b9e4f6dc14f9ace931279af6c9ff392568533b4eac18980529eabd75904,c9ca82884628c8b9a4f6076e361baaa5e68b210b85d4cdcecc75e681d66b4bec,positive_native_lib_added,C07M1-NATIVE-0004,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0005,DC-C07-S01-M1,m1-controlled-2026-06-12,2ae99e53166590df00194cf35820b34fd78996aed0f184b549c9b202b9b94506,a603e306f4c7da58df56891e5a7cf48130436beebfd0ff35e45352512ad21f0e,positive_native_lib_added,C07M1-NATIVE-0005,holdout,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0006,DC-C07-S01-M1,m1-controlled-2026-06-12,84fcd19f32811c8e1f65ac05a2cdc17b6994645d0f24c15572dd824074c7da32,d757a5097bb231b1b7ffc5d7dde28e55282de08a4c0523f420a0390c7c972a7e,positive_native_lib_added,C07M1-NATIVE-0006,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0007,DC-C07-S01-M1,m1-controlled-2026-06-12,092fb8ea53d9c7b3254ce02e7c262e4645a4237b1c7502b90b9b4326ffc8aca0,42485565e5f964c16f2562c5b9c27d5f5b6eb16a617aa9aafa9b304493454d3b,positive_native_lib_added,C07M1-NATIVE-0007,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0008,DC-C07-S01-M1,m1-controlled-2026-06-12,172e0424923b9af5243011f8bd6e7b016ab3dc415b7e126e1b23b68c3b36c271,b5ee2bd67ae76627b6ff08716f12e98093a6093c599fa2f76ea5bd251fd4b5ae,positive_native_lib_added,C07M1-NATIVE-0008,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0009,DC-C07-S01-M1,m1-controlled-2026-06-12,72219c0ba9f51b61b107ba2b55f28bd7b427355c78455b99c0a6ae81a3056e4f,83c4bd18c1742925f236d63e34738e30b1deb8f5006c7998bb1f54be23ad44d3,positive_native_lib_added,C07M1-NATIVE-0009,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0010,DC-C07-S01-M1,m1-controlled-2026-06-12,a9ff67220d43fcd15ecf8c3c297f0bd86bce2e9893b24d88a54c4063f1f44cfc,33afe425450046280d43a84b46ff5e686fa607c686f5dbc0cdcebb9284eb2355,positive_native_lib_added,C07M1-NATIVE-0010,holdout,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0011,DC-C07-S01-M1,m1-controlled-2026-06-12,54ec713d10957930c19299a373badce74a14beaa8f9de5ff494f7a1897db51f9,f67a432a9fc8bf82e9678c79b7d9ccb63b32e6fa1270477fedb1d9d266b0ae12,positive_native_lib_added,C07M1-NATIVE-0011,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0012,DC-C07-S01-M1,m1-controlled-2026-06-12,dea232d18e5c663aeeef6bd7623392c2830827ea14cb7e6a90cc33dee2473eaf,3da51afc3260bf5bc7122b32224eb32dfd927a8b2d2060ce785256a2cc0ef2ff,positive_native_lib_added,C07M1-NATIVE-0012,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0013,DC-C07-S01-M1,m1-controlled-2026-06-12,5320f329b640242a9265a6ce0f9812e4dc4c0a75917bc61eb34d6650958a88b0,82a3960909395907791f32029d6e144834ba57d0373c068a4362013b2a0cc27c,positive_native_lib_added,C07M1-NATIVE-0013,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0014,DC-C07-S01-M1,m1-controlled-2026-06-12,9425ebe3cc3e146d76e20b67e350f2d1119374a41cc41a20ccff480ca662c444,0297290d2cd589d61867b3f707f0c60c9a834eb912b67c8e5d9e9258f57e2a3a,positive_native_lib_added,C07M1-NATIVE-0014,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0015,DC-C07-S01-M1,m1-controlled-2026-06-12,97c560461f8bc79df95a951fc6b4298967294e9f13086f4475d8aabf61b3185a,1f97b8de2089c38bb4253a3e7159f9bf15875c8c6ebd3009bf3b96bda8b8777c,positive_native_lib_added,C07M1-NATIVE-0015,holdout,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0016,DC-C07-S01-M1,m1-controlled-2026-06-12,9d88870f56991ebddd461f183669a19c367a552fa24ed785ec4b6e6cf78279e3,ccb1db482d267b33cfc3e7e03e3543c7007e098cda2c3bbded111586bd17b05a,positive_native_lib_added,C07M1-NATIVE-0016,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0017,DC-C07-S01-M1,m1-controlled-2026-06-12,0f623ed88567a358266ff0376bdfad4193073d04bfb3cbe4ae5cb2a3c100fb4a,a7122eb474af95576e45b19498051c47f935097b6d2632905878068d9db7fe5e,positive_native_lib_added,C07M1-NATIVE-0017,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0018,DC-C07-S01-M1,m1-controlled-2026-06-12,8c74d09e5e07c30108168ea1e9456be3f168a1f3cd98ec1d472e6171c0db9c50,6fc6a2404dca714dd0a3d06c33c02d2a18d1f10085614286b30e86450809935d,positive_native_lib_added,C07M1-NATIVE-0018,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0019,DC-C07-S01-M1,m1-controlled-2026-06-12,551286f225b22608ca5995de80d251ef5a178cc02322bb3b061d5f81b140d856,b84572470ee25d42c1b98bd108f92e4e0d19f3ef98dd98f25d6a68cdd389e747,positive_native_lib_added,C07M1-NATIVE-0019,dev,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
DC-C07-S01-M1-CAND-0020,DC-C07-S01-M1,m1-controlled-2026-06-12,5b9c08720b5ceb9745dcfc7b7850168c56813593b70fb91f8c6d2e3aebbb67a4,4c1b643b578f0e46f08395bc06ecc6e360916529c4b870b0973943ee03c83295,positive_native_lib_added,C07M1-NATIVE-0020,holdout,controlled synthetic local generation,strong,right APK adds a synthetic native library marker file; bytecode and resources stay stable
