sha256,feature_status,failure_class,decoded_dir,package_name,manifest_version_code,manifest_version_name,min_sdk,target_sdk,uses_permission_count,activity_count,activity_alias_count,service_count,receiver_count,provider_count,uses_feature_count,smali_dir_count,smali_file_count,class_count,method_count,field_count,res_file_count,res_dir_count,asset_file_count,lib_file_count,native_abi_count,top_class_prefixes,sample_permissions,sample_components
0297290d2cd589d61867b3f707f0c60c9a834eb912b67c8e5d9e9258f57e2a3a,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0014/right,com.phd.m1.c07.f014,,,,,0,0,0,0,0,0,0,1,7,7,14,0,3,1,0,1,1,com.phd.m1:7,,
092fb8ea53d9c7b3254ce02e7c262e4645a4237b1c7502b90b9b4326ffc8aca0,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0007/left,com.phd.m1.c07.f007,,,,,0,0,0,0,0,0,0,1,8,8,16,0,3,1,0,0,0,com.phd.m1:8,,
0f623ed88567a358266ff0376bdfad4193073d04bfb3cbe4ae5cb2a3c100fb4a,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0017/left,com.phd.m1.c07.f017,,,,,0,0,0,0,0,0,0,1,6,6,12,0,3,1,0,0,0,com.phd.m1:6,,
172e0424923b9af5243011f8bd6e7b016ab3dc415b7e126e1b23b68c3b36c271,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0008/left,com.phd.m1.c07.f008,,,,,0,0,0,0,0,0,0,1,5,5,10,0,3,1,0,0,0,com.phd.m1:5,,
1ae47191f07ca6fededdf45f79c81cebcdfd7899a2053b1e2f79fb68a838c2f2,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0003/right,com.phd.m1.c07.f003,,,,,0,0,0,0,0,0,0,1,8,8,16,0,3,1,0,1,1,com.phd.m1:8,,
1e3e0b9e4f6dc14f9ace931279af6c9ff392568533b4eac18980529eabd75904,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0004/left,com.phd.m1.c07.f004,,,,,0,0,0,0,0,0,0,1,5,5,10,0,3,1,0,0,0,com.phd.m1:5,,
1f97b8de2089c38bb4253a3e7159f9bf15875c8c6ebd3009bf3b96bda8b8777c,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0015/right,com.phd.m1.c07.f015,,,,,0,0,0,0,0,0,0,1,8,8,16,0,3,1,0,1,1,com.phd.m1:8,,
25ca40f916bd96992f9a01161934c69303ebd9da14539765ba40885624348f51,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0002/right,com.phd.m1.c07.f002,,,,,0,0,0,0,0,0,0,1,7,7,14,0,3,1,0,1,1,com.phd.m1:7,,
2ae99e53166590df00194cf35820b34fd78996aed0f184b549c9b202b9b94506,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0005/left,com.phd.m1.c07.f005,,,,,0,0,0,0,0,0,0,1,6,6,12,0,3,1,0,0,0,com.phd.m1:6,,
33afe425450046280d43a84b46ff5e686fa607c686f5dbc0cdcebb9284eb2355,success,,local-verify-not-published/DC-C07-S01-M1/DC-C07-S01-M1-CAND-0010/right,com.phd.m1.c07.f010,,,,,0,0,0,0,0,0,0,1,7,7,14,0,3,1,0,1,1,com.phd.m1:7,,
