pair_id,change_tag,tag_source,tag_confidence,tag_evidence
DC-C07-S01-M1-POS-0001,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0001
DC-C07-S01-M1-POS-0001,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0001,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0002,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0002
DC-C07-S01-M1-POS-0002,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0002,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0003,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0003
DC-C07-S01-M1-POS-0003,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0003,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0004,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0004
DC-C07-S01-M1-POS-0004,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0004,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0005,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0005
DC-C07-S01-M1-POS-0005,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0005,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0006,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0006
DC-C07-S01-M1-POS-0006,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0006,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0007,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0007
DC-C07-S01-M1-POS-0007,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0007,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0008,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0008
DC-C07-S01-M1-POS-0008,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
DC-C07-S01-M1-POS-0008,native_lib_count_change,feature_delta_smoke,strong,0->1
DC-C07-S01-M1-POS-0009,native_lib_change,controlled_generation_rule,strong,DC-C07-S01-M1-CAND-0009
DC-C07-S01-M1-POS-0009,native_library_added,controlled_generation_rule,strong,lib/armeabi-v7a/libm0native.so
