pair_id,dataset_id,dataset_version,label,split,lineage_group_id,left_sha256,right_sha256,left_feature_status,right_feature_status,pair_feature_status,left_package,right_package,permissions_left,permissions_right,permissions_shared,permissions_jaccard,components_left,components_right,components_shared,components_jaccard,classes_left,classes_right,classes_shared,classes_jaccard,smali_files_left,smali_files_right,methods_left,methods_right,res_files_left,res_files_right,res_paths_shared,res_path_jaccard,notes
DC-C01-S01-M1-CAND-0001,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0001,01195c7318fb8effa28db5e32c46599c30c18b8743781c30470ade92d83caea5,d548502f86d440d9e27145d3ef9e351f04e1d96284e7dbdeae9a886f26366c54,success,success,success,com.picsart.studio,com.picsart.studio,12,12,12,1.0000,141,141,141,1.0000,3596,3596,3596,1.0000,3596,3596,20993,20993,1722,1722,1722,1.0000,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0002,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0002,04d61cf71bcd9e9ff83d35fa86c82cb0e4d1476c39cb1a87217e7d4dfa4b71af,d5c2a31bd95fc4d602b00dfc239d86c7e7160efb334968f0dcf7972641c7c504,success,success,success,com.checkers.checkers,com.checkers.checkers,4,4,4,1.0000,10,10,10,1.0000,246,325,246,0.7569,246,325,1095,1603,166,167,166,0.9940,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0003,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0003,05667ddf242b81000b2d29946a63c1113162c8c72ff13b82464c123da26c64a3,3ff73591ab3c0bd3d8271a3f5b5643154f3e4d6dff7203fbfff052aea71bb9b1,success,success,success,com.dseffects.VirtualDog,com.dseffects.VirtualDog,4,4,4,1.0000,1,1,1,1.0000,26,140,26,0.1857,26,140,158,671,7,7,7,1.0000,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0004,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0004,083e11ab8280522404d62963b6118de52d81333d8640c876244687fd1fec065d,c9f77f0849974a41d6a35cb00e2a4274b4d4a3a5435a1a7ceac645dc32805a03,success,success,success,org.pyload.android.client,org.pyload.android.client,3,3,3,1.0000,5,5,5,1.0000,1391,1391,1391,1.0000,1391,1391,7148,7148,166,166,166,1.0000,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0005,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,holdout,C01M1-RP-0005,10eda742fb707dc442217d942923eafa7140e83c4c2c04f477a8ea5368285fe5,ccea2daaee5d9ef65876b8b1e7aed79454cd7e501f291ed2aca0e4973ff1075f,success,success,success,com.cjdao.trackback,com.cjdao.trackback,5,5,5,1.0000,8,8,8,1.0000,93,94,93,0.9894,93,94,527,527,68,68,68,1.0000,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0006,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0006,228e4844ebbea413fbd16b17ba09e96ebdf93c3ba0499edc67ec28b6fea2dadd,9d21e7213377abb04cb3134999fd25dc5cae798f9549e605b82f50259507fdef,success,success,success,de.tellows,de.tellows,5,5,5,1.0000,11,11,11,1.0000,148,148,148,1.0000,148,148,804,804,64,64,64,1.0000,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0007,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0007,256b984de50e7d46d4457ebcbae98f1b1a500fed3ec75659d3834416f1cf68de,6fa7eba67dfd2922c5212040ffb93af73ee38e2371b2609fb670fd65e3aafc3c,success,success,success,com.speedsoftware.rootexplorer,com.speedsoftware.rootexplorer,9,9,9,1.0000,22,22,22,1.0000,1908,1908,1908,1.0000,1908,1908,12298,12298,558,524,523,0.9356,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0008,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0008,000595c346096b92b073f3a7c055ffe466edcf3e51e017c280feab641e3d95d3,3f390b8c822ee9aacad4dc24cd0c40639fdc84d15b2c858377001aa207a8173a,success,success,success,com.tekciz.idol2012,com.tekciz.thevoice,4,4,4,1.0000,12,12,12,1.0000,248,248,231,0.8717,248,248,1275,1277,137,133,126,0.8750,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0009,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,dev,C01M1-RP-0009,000d753e7c480fa12d69fd826890683b786e4c344c52a193f1aabe07542d4efe,fd537396e99df3e67bd6fbfec3951098c14a78265c714e63d2562e1977953d3d,success,success,success,com.zhaocha.Whereisbeauty.free1,com.game.Blackjack.Classic.free1,9,10,9,0.9000,19,19,18,0.9000,1913,1927,1895,0.9743,1913,1927,12653,12827,66,75,66,0.8800,covered_by_decode_sanity_summary
DC-C01-S01-M1-CAND-0010,DC-C01-S01-M1,m1-candidate-2026-06-12,repack,holdout,C01M1-RP-0010,000ee4e31cccaddb3b9e301bd803ceed512b06f31d149c2e248545b49f4ee967,d73c16e1be06b4360ea13b1e25e2933bbc99ad5cb824b31b424a6ba09b3436ac,success,success,success,com.geniteam.gangwars.paid10rp,com.geniteam.gangwars.lite,10,10,9,0.8182,53,53,53,1.0000,1261,1263,1250,0.9812,1261,1263,9727,9731,429,429,429,1.0000,covered_by_decode_sanity_summary
