pair_id,dataset_id,dataset_version,label,split,lineage_group_id,left_sha256,right_sha256,left_feature_status,right_feature_status,pair_feature_status,left_package,right_package,permissions_left,permissions_right,permissions_shared,permissions_jaccard,components_left,components_right,components_shared,components_jaccard,classes_left,classes_right,classes_shared,classes_jaccard,smali_files_left,smali_files_right,methods_left,methods_right,res_files_left,res_files_right,res_paths_shared,res_path_jaccard,notes
DC-C09-S01-M1-CAND-0001,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0001,8eb4e4f213a1f844177033f0ebf1f5ea153c0cc4b4e79ac596077c75571227ce,641ac1a536c6b7e4d52f843fea64b98b871c355f5cf6518977dadf11628386b0,success,success,success,com.phd.m1.c09.f001,com.phd.m1.c09.f001,0,0,0,,0,0,0,,11,11,11,1.0000,11,11,22,22,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0002,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0002,7bc0daf1d85e69aa61cef8bef40621bbffecf9cf2e6d75a04b8b79fd29ca9beb,73e06484113e2614b3ad658773da7896b3e99db877282209a7190707b4a75303,success,success,success,com.phd.m1.c09.f002,com.phd.m1.c09.f002,0,0,0,,0,0,0,,12,12,12,1.0000,12,12,24,24,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0003,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0003,c448094554fe5d5c600188aed87b0e265858bbeb0cd15ff54d9f3e8fd9eafecf,fac3f97e95e5f3f19bb47a2f3d96f504e65cde85c51f242fc5316348031b50ad,success,success,success,com.phd.m1.c09.f003,com.phd.m1.c09.f003,0,0,0,,0,0,0,,13,13,13,1.0000,13,13,26,26,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0004,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0004,3cb707376d89cad68809cb9467dbe7f58dc251284fe4967d58ebc0611335bfd1,3de4b84fd787c80cddb4d34a644a62026ebd912a6b682027cb19b40aca992dc1,success,success,success,com.phd.m1.c09.f004,com.phd.m1.c09.f004,0,0,0,,0,0,0,,10,10,10,1.0000,10,10,20,20,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0005,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,holdout,C09M1-MDEX-0005,f04cd1300d6831ad55638c600773aea371aff72d0854a551313a7aad9b4c78c9,b23ac63732890e099b5a3e9bf137071a4e44443f976f6073cd8f21de7441a18a,success,success,success,com.phd.m1.c09.f005,com.phd.m1.c09.f005,0,0,0,,0,0,0,,11,11,11,1.0000,11,11,22,22,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0006,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0006,7ac1f1edc533174438fcee9c81c4f166874381443f238149322f70ac3124fa5e,055c9c23e30a671d9c6cd416fc82d9cc1a58772bb03dc5e59775075d31f2d795,success,success,success,com.phd.m1.c09.f006,com.phd.m1.c09.f006,0,0,0,,0,0,0,,12,12,12,1.0000,12,12,24,24,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0007,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0007,052b9c89244ebe0e0b06ee8de0bd7bd9d75f166c61a72cd1e2b325dd8bdaf3be,24b232661cfc804d3c5d446b820eaf1077f897682346564fb92e264d59a1920b,success,success,success,com.phd.m1.c09.f007,com.phd.m1.c09.f007,0,0,0,,0,0,0,,13,13,13,1.0000,13,13,26,26,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0008,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0008,a5e660b36d4c13b702ec8ec7371ce2a6ec576d65db20e2e6e5fd795724436859,83a4fdef1875ca201cf06139ff3e0d1e8b6d09a29782ec1d24923b4468548267,success,success,success,com.phd.m1.c09.f008,com.phd.m1.c09.f008,0,0,0,,0,0,0,,10,10,10,1.0000,10,10,20,20,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0009,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,dev,C09M1-MDEX-0009,c34f8c236c2ae4f807b8066d681949e0fc2d737cfe96c0da3d401ae8471fd99e,28ee10426a0d8cb40c81fca639edf73721d5e8c2e84902d2440756352d509aba,success,success,success,com.phd.m1.c09.f009,com.phd.m1.c09.f009,0,0,0,,0,0,0,,11,11,11,1.0000,11,11,22,22,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C09-S01-M1-CAND-0010,DC-C09-S01-M1,m1-controlled-2026-06-12,positive_multidex_split,holdout,C09M1-MDEX-0010,a9b4bac0e2ffeafa0233c30098de7c4c236f9643391f28dd6412f4e399e30de1,51e15704cfa130231068fce8c4454103230fe1fbf3a847be8cdb67055927d517,success,success,success,com.phd.m1.c09.f010,com.phd.m1.c09.f010,0,0,0,,0,0,0,,12,12,12,1.0000,12,12,24,24,3,3,3,1.0000,covered_by_decode_sanity_summary
