pair_id,dataset_id,dataset_version,label,split,lineage_group_id,left_sha256,right_sha256,left_feature_status,right_feature_status,pair_feature_status,left_package,right_package,permissions_left,permissions_right,permissions_shared,permissions_jaccard,components_left,components_right,components_shared,components_jaccard,classes_left,classes_right,classes_shared,classes_jaccard,smali_files_left,smali_files_right,methods_left,methods_right,res_files_left,res_files_right,res_paths_shared,res_path_jaccard,notes
DC-C06-S01-M1-CAND-0001,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0001,0f7a8f0749a4ddf2eaeb5c6b87620afb2c3416c7b5496e91378b9b4306d0251c,884fd97b936992f0751254d985ed83f67f8086727b71db2b53c081e5c7b5b168,success,success,success,com.phd.m1.c06.f001,com.phd.m1.c06.f001,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0002,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0002,a69df2ba910992ec4dfbc734ffd982170594d57b7b69c99caf079c0ee1a7d628,624e5c6ebc9905d86a530c814dd6c4f16ce5c5c1276da0161373ca79b141c1d2,success,success,success,com.phd.m1.c06.f002,com.phd.m1.c06.f002,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0003,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0003,ec8907e85a6a6c415459c46ab39a238aedc266b60058786dcf55d7455fb73ce3,07416e2d8904151c93b1cf70d95cf301ea367a09b3353656a3a3af8384ff4a4f,success,success,success,com.phd.m1.c06.f003,com.phd.m1.c06.f003,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0004,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0004,7a8693d56c6bb1f5609461666b79ea2a284108e2d6a98bb0e5d072d9fa71d8bb,a9a6316ed6338e51d3cdf6ab58f3e334feae9cf5649d81345b205e8874a6b482,success,success,success,com.phd.m1.c06.f004,com.phd.m1.c06.f004,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0005,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,holdout,C06M1-R8-0005,009e8cb1e7586ab9da5072c25710cd203967f3626e81535b9adf4c8fb7cfa931,e75a8864527bda5ba2597c64d0b0d87a93d2d1839a40dc5d5e42a9bfc9202c56,success,success,success,com.phd.m1.c06.f005,com.phd.m1.c06.f005,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0006,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0006,594c4b60cebea6ba9a30c61086567b54f68159ce077ff065d33396931bd670e9,cc06464646ea62452762aca7449a50ebc9aa309c72560514fb47a4a2052e5b60,success,success,success,com.phd.m1.c06.f006,com.phd.m1.c06.f006,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0007,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0007,2a54d128a759b518b7607bce98bce82c7d195eb9dbc1905dea5a9cd353752bc0,9087e101c55a8da03f1caa8884818f9b9b2f78ef3862eb2e83e0fcbc3b92e35f,success,success,success,com.phd.m1.c06.f007,com.phd.m1.c06.f007,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0008,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0008,60b63d6aaa41040dfcb5ea342fe9cc96ca420f2e7efd27e9201501f276ad4b31,6a3d3ec147105c37c3aadc03581ab683c00d334a35b5985a5e6c7635649ba6a4,success,success,success,com.phd.m1.c06.f008,com.phd.m1.c06.f008,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0009,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0009,3f50c97731b56e1e5df8935f527931d230a3e996aa2656b5b7ed57d0ed970562,32d3cc1ab7f547b93c58d065c5197ac044f9d7f229160e5ed2b13a3c928a2184,success,success,success,com.phd.m1.c06.f009,com.phd.m1.c06.f009,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0010,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,holdout,C06M1-R8-0010,562ab6b2a01e734ed8a4efd74c4d61e0e86138dda80e4af12bc8493a600a71ad,e75977dd5b67d0b1b77161d2540bd51582725e12ffe9f3abadbccec2d03801c4,success,success,success,com.phd.m1.c06.f010,com.phd.m1.c06.f010,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0011,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0011,01cded645684a913dcc1d95ee7a2078f58235cafc2cf3247ea1443a150183b77,9d5d5f6b73b73029389f76aefd59f9f7f5bc9e812b608842912f5e75e4154fb8,success,success,success,com.phd.m1.c06.f011,com.phd.m1.c06.f011,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0012,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0012,58eb44ed4546cf0015b6d51d93cf412f9da058328415351c6b8626ab69c28b66,0505d7aeb9c70639c906eaa7c7ab1bd91c2c503644643bd09ec2eff8241640dc,success,success,success,com.phd.m1.c06.f012,com.phd.m1.c06.f012,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0013,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0013,ca1239fc2eca876fddebf68b74dd12f0d41d28fe71066edff6ea68c837e85775,8fb5702050c06c0d442d813bd428fed10bd9ff2a135304c0ec9a6468d07dbd10,success,success,success,com.phd.m1.c06.f013,com.phd.m1.c06.f013,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0014,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0014,98798724b702c6ccdb61530526ab1a5c128cd046ac0d4f5099e491552d49a08a,8c4b1a1d30b6f2462aad457b9248ac3d589110e15d4ea9025d2b1f05e1ac3580,success,success,success,com.phd.m1.c06.f014,com.phd.m1.c06.f014,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0015,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,holdout,C06M1-R8-0015,1708c204318caf5d261c08ea0274b783d68741713efebd2ac69b1611f384bf34,c5044e1be902852496194e82104ffc6127d4e374f645e2a7b7382eed2ac05f7e,success,success,success,com.phd.m1.c06.f015,com.phd.m1.c06.f015,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0016,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0016,f536d068f526f657ff9c95e2c8c289b7535ce4745daf5ec2f8b1bdd24461667c,57516ec83c38e8fa3ea0a7519e519cc56edabdcc1a1f1d53c4c97eb3ad1d5a60,success,success,success,com.phd.m1.c06.f016,com.phd.m1.c06.f016,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0017,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0017,c13eb023225e7070809dffe8384f9a34bb48b1b90e452a6fa0cbecbe20004eac,d48c9e6a8c7a076e22fa4342b86e0211c98ceb447c1388c8bd43c21f39c61d91,success,success,success,com.phd.m1.c06.f017,com.phd.m1.c06.f017,0,0,0,,0,0,0,,6,6,0,0.0000,6,6,12,12,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0018,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0018,673ddc86240470cd872f36bf122d1093e210b8a314c56a5e7e29983b99048228,a7d2dbd79f69b34acadaf4bc54f3550ec4d9a4392b017e4a57dd280e8a627562,success,success,success,com.phd.m1.c06.f018,com.phd.m1.c06.f018,0,0,0,,0,0,0,,7,7,0,0.0000,7,7,14,14,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0019,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,dev,C06M1-R8-0019,1ff9b889925bda53b0dd4a3c867debb4002629deb6a52af8e1f38e2deb3d8d4a,c59f0a77cccfa85b3cf0dbfafdd02bebea0ae6b89864eb38f995638d9463a5fd,success,success,success,com.phd.m1.c06.f019,com.phd.m1.c06.f019,0,0,0,,0,0,0,,8,8,0,0.0000,8,8,16,16,3,3,3,1.0000,covered_by_decode_sanity_summary
DC-C06-S01-M1-CAND-0020,DC-C06-S01-M1,m1-controlled-2026-06-12,positive_obfuscation_like_rename,holdout,C06M1-R8-0020,26e6725165d066fe517a5b6694828be5c2a1e4fdffd970c11af0e387e3ceac54,c57bcc5ffb855d24cd9ca408d2cc39776cf9082d142c98d09ce2b63cf77a189f,success,success,success,com.phd.m1.c06.f020,com.phd.m1.c06.f020,0,0,0,,0,0,0,,5,5,0,0.0000,5,5,10,10,3,3,3,1.0000,covered_by_decode_sanity_summary
