pair_id,dataset_id,dataset_version,label,split,lineage_group_id,left_sha256,right_sha256,left_feature_status,right_feature_status,pair_feature_status,left_package,right_package,permissions_left,permissions_right,permissions_shared,permissions_jaccard,components_left,components_right,components_shared,components_jaccard,classes_left,classes_right,classes_shared,classes_jaccard,smali_files_left,smali_files_right,methods_left,methods_right,res_files_left,res_files_right,res_paths_shared,res_path_jaccard,notes
DC-C03-S01-M1-CAND-0001,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0001,a602c655c9d1ab66fab57e0acfb7a307cee9d5edf8bf587db66976fc125f00ba,e1919c6dd9b632b1bd1461b7eb27afa03a65023eedb9701a496c4669c8c3f7ca,success,success,success,com.phd.m1.c03.f001,com.phd.m1.c03.f001,0,0,0,,0,0,0,,6,6,6,1.0000,6,6,12,12,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0002,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0002,f0982befcd9713529602c6d6cd29cf31433333582efc0ab6dcc58e5e540901b2,6df5f982c0c78749e905456edebcfff9248ebcbd12194d2bbe7e254eb39be7d8,success,success,success,com.phd.m1.c03.f002,com.phd.m1.c03.f002,0,0,0,,0,0,0,,7,7,7,1.0000,7,7,14,14,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0003,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0003,1be522e7ff8d1d8265eb558b0d811560b3f18692b4ccaeaf3bfd5be538167b32,75edf5943d26a3b55e15e67c0645db7e3e902139222147bb0548f27ad987b7f2,success,success,success,com.phd.m1.c03.f003,com.phd.m1.c03.f003,0,0,0,,0,0,0,,8,8,8,1.0000,8,8,16,16,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0004,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0004,1be22f49e1f117ebf0a7ed6253b02e051fa240f078b8ec2dd0b50a7e50d2735a,9953de683dfddee39927598b59889e8eb4231c3e2fc9c8bad3d298895a97781f,success,success,success,com.phd.m1.c03.f004,com.phd.m1.c03.f004,0,0,0,,0,0,0,,5,5,5,1.0000,5,5,10,10,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0005,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,holdout,C03M1-RES-0005,9dcd6a58101e3df189b9790ab35e8f99971fe96b164699f73a00f5e1b891d216,5d01f2d015ac486341a621c67d05e9d35c8f2b60dd430fb2a1944282660db934,success,success,success,com.phd.m1.c03.f005,com.phd.m1.c03.f005,0,0,0,,0,0,0,,6,6,6,1.0000,6,6,12,12,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0006,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0006,30526bdaefd4b273343af37ee0fd4c44104ba988f27b59415ae8646f7c5cedac,faef99e3d21d0db6366597c9e15cbf5f32f2a6243f322f50dd671e95bc61b317,success,success,success,com.phd.m1.c03.f006,com.phd.m1.c03.f006,0,0,0,,0,0,0,,7,7,7,1.0000,7,7,14,14,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0007,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0007,5b73702331f30468e879a6ab952960f84036a9954ea9ec3034a830507ccb484b,1391363e8aefa91c3e48fe2e5960283987a8d7d97082cdd02addfd25dd6072cc,success,success,success,com.phd.m1.c03.f007,com.phd.m1.c03.f007,0,0,0,,0,0,0,,8,8,8,1.0000,8,8,16,16,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0008,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0008,e9e1454d528b7630ca010b4f0684e2643b9fad5d0b0bf4c6892083b41380240e,5bc4cea43e94af2c835836ad30c32bad0a4ef491311f164deb2df0941e5fbd19,success,success,success,com.phd.m1.c03.f008,com.phd.m1.c03.f008,0,0,0,,0,0,0,,5,5,5,1.0000,5,5,10,10,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0009,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0009,078f3b7ecca2b39b6e04194a0a603e2c00daf8280ac25a5b042d31e2edcb23f7,203e6c5fa7b21020cd8f7974c6b1c253501e1c6b01ca65256e406b57e7217d04,success,success,success,com.phd.m1.c03.f009,com.phd.m1.c03.f009,0,0,0,,0,0,0,,6,6,6,1.0000,6,6,12,12,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0010,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,holdout,C03M1-RES-0010,9a3e15e82d6e5ea695ab64688f95505284de46322a6cd7f3b202ae00183c8031,8c69e1381b0e7fadb1c41d59bcf88f781d73f251e8e6f0f9eb0e28926051e177,success,success,success,com.phd.m1.c03.f010,com.phd.m1.c03.f010,0,0,0,,0,0,0,,7,7,7,1.0000,7,7,14,14,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0011,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0011,3beb30ac24713f933d174c23e5dc1c0b2c5f516c8f2c0aa30ccd04e153fd54e1,13b487e72330eec35d04087d0938efc53d87feb99c85d5b1df0bb1212ee8dd4d,success,success,success,com.phd.m1.c03.f011,com.phd.m1.c03.f011,0,0,0,,0,0,0,,8,8,8,1.0000,8,8,16,16,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0012,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0012,19d4fd9a84e83c37ea1c4cde3e424f44aee1ee455d2474432732ce558dd12d4a,3f00500369698c831de539dee52d938e7d33aafecfa68b5c9193705952c766b9,success,success,success,com.phd.m1.c03.f012,com.phd.m1.c03.f012,0,0,0,,0,0,0,,5,5,5,1.0000,5,5,10,10,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0013,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0013,472b57326a0ef99f934c6586cb66be36c76ccd7d9efa83ffb4a24f685fd74f22,6a5b3cf643626f420e384ae96cef5f3ab9cbe177f50ca5eee030a7917d399162,success,success,success,com.phd.m1.c03.f013,com.phd.m1.c03.f013,0,0,0,,0,0,0,,6,6,6,1.0000,6,6,12,12,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0014,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0014,59100d02ebac04d98cb1969a5cc2809b8a5d5f9f0c15dbd971391727f843a2c4,c85c45dbe25de136efd20110d29d70427df6385a8769620d99e1bc1ca225c020,success,success,success,com.phd.m1.c03.f014,com.phd.m1.c03.f014,0,0,0,,0,0,0,,7,7,7,1.0000,7,7,14,14,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0015,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,holdout,C03M1-RES-0015,0cce7951d08d38bfd4a20ed772186b824f06683ab89f9ad4a1ceb862fdd1b62c,0642a1bca5d193c5dd95d465bb9d06243ef070b34a09952f465a60b8eed0f0b7,success,success,success,com.phd.m1.c03.f015,com.phd.m1.c03.f015,0,0,0,,0,0,0,,8,8,8,1.0000,8,8,16,16,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0016,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0016,697405997890e092cd604d918d49ec382545a4256059ff98901a100287646524,c781d2c1d7c52750ed170a9ab42aee841fbc7043947ad8ad2d9118f4f6523549,success,success,success,com.phd.m1.c03.f016,com.phd.m1.c03.f016,0,0,0,,0,0,0,,5,5,5,1.0000,5,5,10,10,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0017,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0017,db98a2c27820cc6431b1098919ea8a8f92fbd9a386bab70c92a669ef476d2fd3,e3bb15d19c4a12d4335e359d495c9739590269c44f5b078cc3d8d165afb0c4dc,success,success,success,com.phd.m1.c03.f017,com.phd.m1.c03.f017,0,0,0,,0,0,0,,6,6,6,1.0000,6,6,12,12,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0018,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0018,c7fadb027aa1811c07cd0f0366014afadea02f63c379cf02d70880e4a17b5e9b,aae39203edc4981dbe5509c9dde1af75fb985c7f5fa002e24f9ff6dd25f8fe62,success,success,success,com.phd.m1.c03.f018,com.phd.m1.c03.f018,0,0,0,,0,0,0,,7,7,7,1.0000,7,7,14,14,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0019,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,dev,C03M1-RES-0019,2cc552555e652a7c4ffccc9752fe47440e3a4535ae26223aa09b28d6583998db,2f37a2208a005d9573414409d7aa7372eeb6e9c0bd4db2afd359bc5eb640e194,success,success,success,com.phd.m1.c03.f019,com.phd.m1.c03.f019,0,0,0,,0,0,0,,8,8,8,1.0000,8,8,16,16,3,4,3,0.7500,covered_by_decode_sanity_summary
DC-C03-S01-M1-CAND-0020,DC-C03-S01-M1,m1-controlled-2026-06-12,positive_resource_change,holdout,C03M1-RES-0020,7d5fb11d6abfa6798440a58a89e013bdda116680f774fbf9c62fccf13d169891,aeafe1caa1f7082dee5f735a8b1fc94cf21f8130ef0965b119c3298caafa44da,success,success,success,com.phd.m1.c03.f020,com.phd.m1.c03.f020,0,0,0,,0,0,0,,5,5,5,1.0000,5,5,10,10,3,4,3,0.7500,covered_by_decode_sanity_summary
