pair_id,change_tag,tag_source,tag_confidence,tag_evidence
DC-C08-S01-M1-POS-0001,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0001
DC-C08-S01-M1-POS-0001,class_count_reduction,feature_delta_smoke,strong,7->4
DC-C08-S01-M1-POS-0001,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.5714
DC-C08-S01-M1-POS-0002,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0002
DC-C08-S01-M1-POS-0002,class_count_reduction,feature_delta_smoke,strong,8->5
DC-C08-S01-M1-POS-0002,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.6250
DC-C08-S01-M1-POS-0003,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0003
DC-C08-S01-M1-POS-0003,class_count_reduction,feature_delta_smoke,strong,9->6
DC-C08-S01-M1-POS-0003,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.6667
DC-C08-S01-M1-POS-0004,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0004
DC-C08-S01-M1-POS-0004,class_count_reduction,feature_delta_smoke,strong,10->7
DC-C08-S01-M1-POS-0004,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7000
DC-C08-S01-M1-POS-0005,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0005
DC-C08-S01-M1-POS-0005,class_count_reduction,feature_delta_smoke,strong,6->3
DC-C08-S01-M1-POS-0005,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.5000
DC-C08-S01-M1-POS-0006,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0006
DC-C08-S01-M1-POS-0006,class_count_reduction,feature_delta_smoke,strong,7->4
DC-C08-S01-M1-POS-0006,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.5714
DC-C08-S01-M1-POS-0007,code_deletion,controlled_generation_rule,strong,DC-C08-S01-M1-CAND-0007
DC-C08-S01-M1-POS-0007,class_count_reduction,feature_delta_smoke,strong,8->5
