pair_id,dataset_id,dataset_version,left_sha256,right_sha256,label,lineage_group_id,split,ground_truth_source,label_confidence,notes
DC-C08-S01-M1-CAND-0001,DC-C08-S01-M1,m1-controlled-2026-06-12,aa489f66923418cbddc940fc2c74f6313cce2b2f95669c601bf04b97b49dcac5,31e3e510e16fbff804548b502d2216be024acf9172688a7947d73edd11a8a05a,positive_code_deletion,C08M1-DEL-0001,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0002,DC-C08-S01-M1,m1-controlled-2026-06-12,b1019d30e947aa5ae1eb21445d8db352168e31c69f9cfe8a21f3943452f590e1,5a5601b72f8c96e5b4214e2cc83fee3637311f617e1f51031a0dd027941d91bc,positive_code_deletion,C08M1-DEL-0002,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0003,DC-C08-S01-M1,m1-controlled-2026-06-12,16822a33db49dc931d3ff5ca7e03fffe9513cc57a2f5f4b3b761b7c25f16842d,d05c6bb54bfaf3c591e0f17e11de8c0213ec07089d6081115042220fc588d49d,positive_code_deletion,C08M1-DEL-0003,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0004,DC-C08-S01-M1,m1-controlled-2026-06-12,5971b386fa88ea86c438301d642b2dc2cf056ceb058b762e444cfadfc996dc16,f175f0bbcb1173e470d0b190935605f0a27aa3ffd75b9d36fe30bedf2febb49e,positive_code_deletion,C08M1-DEL-0004,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0005,DC-C08-S01-M1,m1-controlled-2026-06-12,a571c7d78efa020336ea3d7889760123d1ffdda46320285f49f77f848c0d0b0b,e46ac4d57ea2829545c5edf3b26434df83a43860573dba7fd7e4644793dea461,positive_code_deletion,C08M1-DEL-0005,holdout,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0006,DC-C08-S01-M1,m1-controlled-2026-06-12,781f28185008b3ae83d9bfae83ab3c79a82414d3ce7f58c32cbf658128ca18e9,3266baa6ff4f20799b5d240b5dfc1240962f7abdf2faa746966f7dc3837970e1,positive_code_deletion,C08M1-DEL-0006,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0007,DC-C08-S01-M1,m1-controlled-2026-06-12,27ab8afe11878a10ca3482e37d977cb6ac4e973d7be33f35741b58236a2ed62b,e52870b799ec8961dca23ef4d602c966be750e45e810592a34714ca35fd65510,positive_code_deletion,C08M1-DEL-0007,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0008,DC-C08-S01-M1,m1-controlled-2026-06-12,758bc816a5a1f793fb1b2c84329a6c23bf8090e193c66499212ff8b90bb647d3,aeba28df6df3330e14cd2b8a5a22099538a38a990d1c97c6294b2604a510494e,positive_code_deletion,C08M1-DEL-0008,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0009,DC-C08-S01-M1,m1-controlled-2026-06-12,7903077f21dffbabc007df5b33eadee29d875eeb970f0a4ff102fcdc3caeb557,0422322268f1ed97b5ee65dd2c0cc8753c7b780fa929ab9e2e517e85785ecb98,positive_code_deletion,C08M1-DEL-0009,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0010,DC-C08-S01-M1,m1-controlled-2026-06-12,54425c21f493958a1b810e7e6559dc33d95097b676b82eee09b9f1d946c12d03,77a35fefb7bcd062312973572e2e6b766c0ea1b3fbf566be30d707b398fc39d0,positive_code_deletion,C08M1-DEL-0010,holdout,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0011,DC-C08-S01-M1,m1-controlled-2026-06-12,7d1136babc0692f9b46bc8b534722ca5bbd6cccf538ec7e6c7d79b0f7de65084,171c4f206f87d1e8de39ea367eeadcd6a6b3f38a87f03d9e9b677d575b2e7bad,positive_code_deletion,C08M1-DEL-0011,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0012,DC-C08-S01-M1,m1-controlled-2026-06-12,4b3c4a70ef944792b92cbf4a97cef9a232293bda3db1dc02dc8d1852b94bd319,fa891342f9f8bfb8a12a3d96465ca39a42e849a9d24ecbe63d01be6529e70f5a,positive_code_deletion,C08M1-DEL-0012,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0013,DC-C08-S01-M1,m1-controlled-2026-06-12,6313f5282cbaf42105f8e238e63dfa65143a61c6e8df975674aca93df3798784,ba63eca8a7c6dd415f50e3c1387f85d86f6b5c017351261d94194db3c3f1d443,positive_code_deletion,C08M1-DEL-0013,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0014,DC-C08-S01-M1,m1-controlled-2026-06-12,8d7d36eac9538a1ebe716f432ebf3b47d600a2b3abb1a14796e67eb2326046d3,7f76cbd54f5b803f4de1ce66a65764fe357fe7f9eedaab9395dd985d3b391173,positive_code_deletion,C08M1-DEL-0014,dev,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
DC-C08-S01-M1-CAND-0015,DC-C08-S01-M1,m1-controlled-2026-06-12,cd680988778f0f5ed30f1044e561c1b505c39b7274e443c816a0067079cf1dcd,65997a73abf4445b2c378a5fc36246407e4c8c80a3b5f7c552b898464acf1177,positive_code_deletion,C08M1-DEL-0015,holdout,controlled synthetic local generation,strong,right APK contains a strict subset of generated classes
