pair_id,dataset_id,dataset_version,left_sha256,right_sha256,label,lineage_group_id,split,ground_truth_source,label_confidence,notes
DC-C04-S01-M1-CAND-0001,DC-C04-S01-M1,m1-controlled-2026-06-12,46f218a60639507be93b46972200a4b6a5be06bc44623ac3cf1724a77aa68de7,628bccb2ea0b1745a64145fa377a46ce8e60037540932ff4285508cca7060ff3,positive_package_rename,C04M1-PKG-0001,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0002,DC-C04-S01-M1,m1-controlled-2026-06-12,b3b958fad13878064ad5250a939c44c6f1804f37bc63813f5c6248270ddb1373,fc4940ad402f678ba500d5d5d0d4be8f459db6c6ddb625ec90f9798d41a27a74,positive_package_rename,C04M1-PKG-0002,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0003,DC-C04-S01-M1,m1-controlled-2026-06-12,73aa1fcf86c35404ac57dee45f34f4623f304f2a248978fd8e40651477746f6c,30f4e361a68e3e3e83c8638cbf51c70758b17d28b74560ce1ae1435ddc3c15c9,positive_package_rename,C04M1-PKG-0003,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0004,DC-C04-S01-M1,m1-controlled-2026-06-12,a8a7038ab59ef3369694d7f7c4b6d98c5d130e57063423fd2a50686af74fd855,b3d6d358091c9094b84e2c2d50e7b65642e41c6b9ce98d0938c468f89e8bd262,positive_package_rename,C04M1-PKG-0004,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0005,DC-C04-S01-M1,m1-controlled-2026-06-12,503afca6c917fba9ba60f69114bf92cb4aad780723be8ab9d3000511914a38b8,e1fdc96485974fbbbeaa7ee8e96c381f8aec11b714adc25cd6e2cb5f40e2c00b,positive_package_rename,C04M1-PKG-0005,holdout,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0006,DC-C04-S01-M1,m1-controlled-2026-06-12,514dce0faca941f6f836e599f30ebdd89c3708e8b493f13f1b8430977b0164fe,ba69912b4e7170a39be578e3ed8846eb606a9892b17cf5fd7a7581f704eaa7da,positive_package_rename,C04M1-PKG-0006,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0007,DC-C04-S01-M1,m1-controlled-2026-06-12,97d45232215471fb6778682a875de867efc285bc6609cd975249e5d5b5fed1b3,28b67f6bb435490a853bca32d40f77b46819a86a1b73c5f6b4933828e4ffb619,positive_package_rename,C04M1-PKG-0007,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0008,DC-C04-S01-M1,m1-controlled-2026-06-12,3af249c31b204be34520a361ec4335bdd4f5557e546fb4203db65ecfeaa7dead,56d0fc1e69cfebf2420320610d69a20556407431e50af02f8862f1f64a72db22,positive_package_rename,C04M1-PKG-0008,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0009,DC-C04-S01-M1,m1-controlled-2026-06-12,4180adf09407667e19649fe28b5f85196dde1a7695c8283b12fcb67bf27529cf,87bf46fb38b59b59b0fbe43ab0da29e27d8526d04256ddb703f1652bd309b5f4,positive_package_rename,C04M1-PKG-0009,dev,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
DC-C04-S01-M1-CAND-0010,DC-C04-S01-M1,m1-controlled-2026-06-12,3dda6a0438c5d38161b7850f672a8771488d137dc0de5179d3166e95ebeb684a,6cb2491d372e66bde4ee9c8e082f2d13d40cb629701223ea301a7363eafd6b0a,positive_package_rename,C04M1-PKG-0010,holdout,controlled synthetic local generation,strong,right APK uses a different package namespace; generated class count and resources stay stable
