pair_id,change_tag,tag_source,tag_confidence,tag_evidence
DC-C02-S01-M1-POS-0001,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0001
DC-C02-S01-M1-POS-0001,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0001,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7500
DC-C02-S01-M1-POS-0002,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0002
DC-C02-S01-M1-POS-0002,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0002,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7778
DC-C02-S01-M1-POS-0003,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0003
DC-C02-S01-M1-POS-0003,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0003,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.8000
DC-C02-S01-M1-POS-0004,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0004
DC-C02-S01-M1-POS-0004,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0004,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7143
DC-C02-S01-M1-POS-0005,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0005
DC-C02-S01-M1-POS-0005,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0005,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7500
DC-C02-S01-M1-POS-0006,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0006
DC-C02-S01-M1-POS-0006,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0006,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7778
DC-C02-S01-M1-POS-0007,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0007
DC-C02-S01-M1-POS-0007,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0007,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.8000
DC-C02-S01-M1-POS-0008,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0008
DC-C02-S01-M1-POS-0008,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0008,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7143
DC-C02-S01-M1-POS-0009,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0009
DC-C02-S01-M1-POS-0009,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0009,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7500
DC-C02-S01-M1-POS-0010,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0010
DC-C02-S01-M1-POS-0010,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0010,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7778
DC-C02-S01-M1-POS-0011,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0011
DC-C02-S01-M1-POS-0011,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0011,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.8000
DC-C02-S01-M1-POS-0012,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0012
DC-C02-S01-M1-POS-0012,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0012,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7143
DC-C02-S01-M1-POS-0013,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0013
DC-C02-S01-M1-POS-0013,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0013,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7500
DC-C02-S01-M1-POS-0014,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0014
DC-C02-S01-M1-POS-0014,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0014,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7778
DC-C02-S01-M1-POS-0015,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0015
DC-C02-S01-M1-POS-0015,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0015,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.8000
DC-C02-S01-M1-POS-0016,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0016
DC-C02-S01-M1-POS-0016,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0016,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7143
DC-C02-S01-M1-POS-0017,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0017
DC-C02-S01-M1-POS-0017,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0017,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7500
DC-C02-S01-M1-POS-0018,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0018
DC-C02-S01-M1-POS-0018,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0018,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7778
DC-C02-S01-M1-POS-0019,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0019
DC-C02-S01-M1-POS-0019,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0019,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.8000
DC-C02-S01-M1-POS-0020,library_injection,controlled_generation_rule,strong,DC-C02-S01-M1-CAND-0020
DC-C02-S01-M1-POS-0020,synthetic_library_package_added,controlled_generation_rule,strong,com.phd.m0.syntheticlib.*
DC-C02-S01-M1-POS-0020,class_set_change,feature_delta_smoke,strong,classes_jaccard=0.7143
DC-C02-S01-M1-NEG-0001,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0001->DC-C02-S01-M1-CAND-0002
DC-C02-S01-M1-NEG-0002,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0002->DC-C02-S01-M1-CAND-0003
DC-C02-S01-M1-NEG-0003,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0003->DC-C02-S01-M1-CAND-0004
DC-C02-S01-M1-NEG-0004,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0004->DC-C02-S01-M1-CAND-0006
DC-C02-S01-M1-NEG-0005,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0006->DC-C02-S01-M1-CAND-0007
DC-C02-S01-M1-NEG-0006,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0007->DC-C02-S01-M1-CAND-0008
DC-C02-S01-M1-NEG-0007,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0008->DC-C02-S01-M1-CAND-0009
DC-C02-S01-M1-NEG-0008,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0009->DC-C02-S01-M1-CAND-0011
DC-C02-S01-M1-NEG-0009,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0011->DC-C02-S01-M1-CAND-0012
DC-C02-S01-M1-NEG-0010,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0012->DC-C02-S01-M1-CAND-0013
DC-C02-S01-M1-NEG-0011,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0013->DC-C02-S01-M1-CAND-0014
DC-C02-S01-M1-NEG-0012,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0014->DC-C02-S01-M1-CAND-0016
DC-C02-S01-M1-NEG-0013,negative_non_clone,negative_sampling_policy,strong,negative_shift:DC-C02-S01-M1-CAND-0016->DC-C02-S01-M1-CAND-0017
